_id,keyword_list[0]
7228023352396972034,four-leaf clover necklace
7225328146064211970,rings
7235128076672778241,increase your gains now
7221153261666484226,jewelry
7197687095838097409,necklace
7225370524348268545,bombastic side i fight
7231893029489328130,diamond cuban chain
7228118552237490178,ring
7217625121922596865,
7226102011753218049,perfect gift for
7234803664900440066,dumbbell bracelet
7207087590569934850,compass pendant
7221111796660584450,look at this
7134451538295046146,bracelets
7226258294686826498,engagement ring
7212414603119984641,for soup day
7229566148525506561,
7227064880607625218,jumpsuit
7137192133661491202,anklet
7221066914775711746,سوار التواصل عن بعد
7230844923289075714,empire deluxe bracelet
7095628974945468417,lucky heart necklace
7230229285196709889,ring pack
7168231861478309889,your love
7152520263417479169,
7202429684910112770,necklace
7201255845065424897,jewelry
7231074755989798913,clock radio
7061051248023519233,2.63 cts
7233451900561358850,iced out cuban link chains
7223518827790729217,jewellery
7224789788050079746,kylie jenner
7221992137569861634,pearl necklace
7163183666155782146,personalized ring
7112462838468296706,bracelets
7223435211630936065,rings
7172719929955188737,necklaces
7228085238144057346,pear solitaire ring
7232838805845803010,
7227067479636361217,wide leg trousers
7194797426016043010,jewelry van
7228563778693414913,
7228912437079949314,matching locket necklaces
7226462505437970434,rings
7229871311765307393,magnifying glass
7222943388629401601,waterproof jewelry
7202429718128410625,necklace
7150018451477676034,chicken
7223441160743698434,asexual pride ring
7209827909874401282,onyx medallion pendant
7233451874874228738,chains
7158273890804350977,mermaid glass
7227170888432091138,diamond chain
7133016181464989697,draconic victory on sale
6943114523856650241,sparking initial adjustable ring
7030364124623060994,ring
7141449019147943938,
7232190313396731905,stone ring
7171441810567872514,pendants
7218578263613243394,piercings
7221975756104204289,jewelry
7218241770714234881,
7213935024454090754,rope chains
7229065815805968386,
7230975014726959105,men's carabiner clasp chain bracelet
7174245955805642753,ldr bracelet
7167092304665919490,i love you
7208627338183131137,necklace
7221812320363986946,cuban link chain
7227449357888421890,iced cuban bracelet
7177142839892279298,engagement ring
7191484991540789249,plastic bracelet
7223555408844193794,cuban link bracelets
7151780636050391041,diamond rings
7169529297433608194,chains & bracelets
7233861853788372993,necklace
7123197474106507265,مجوهرات
7127045085951311873,anklet omg
7198171450502365185,this mother’s day
7168872250186137602,sing along
7233513651864748034,enjoy this
7233486556048392193,ice mob chain
7218211254573154306,mymom
7233545189574950913,charity collection
7220700156362932226,jewelry
7221144278277128193,this mother’s day
7233148773392187393,70% off
7109546789015994369,ring
7091043747241099266,paracord survival bracelet
7229289237619638273,braccialetti
7208047260902260737,jewelery
7126551837835165697,
7232809323813421058,couples bracelets
7227735978923409410,
7103438076327968770,
7188159725689683969,buck magnetic titanium bracelet
7218884122961575937,chains & bracelets
7185192546801696770,fishing line rings
7229981630974541825,buy now
7217952713332490241,harper charms
7042530113997438977,hug ring
7221951633843896321,
7224660343225155585,bloodstone
7234291178564501505,click the link below
7227448549562499074,iced out cuban bracelet
7195836843366121474,necklaces chains and bracelets
7142590197590212610,accessories
7163645480982937602,
7225370458362167298,asexual pride ring
7179006072270798849,woven seed bead checkerboard bracelet
7217481063518863362,silver bracelet
7205416331034017794,chains and bracelets
7233521910901506049,get yours while supplies last
7054636964410163201,initial ring
7221858123400593409,tap to shop
7167380935867514882,diamond rings
7198881463157096450,chain earrings
7165973975758290946,for the perfect gift
7110640703532810241,tennis bracelet
7222384991719849986,packs of rings
7227371438888583170,cuban link chain
7236009265428660226,jewellery
7207729993711304706,
7209602151973208066,
7201480535473455105,
7194460992510771202,glamis swarovski collection
7213735324504817666,three millimeter rope chain
7120362032679747585,belly chain-2791466
7229160102330679298,
7207483112489811970,
7220154858070310914,dainty necklace
7218067807761825793,cuban link bracelets
7095665185961410561,rings
7233025872209477634,
7222220241723555842,get yours
7177314038300393474,live now
7198669594676494337,jewelry
7227596782505574402,rings
7167380935867678722,diamond rings
7229854985286205442,bracelets
7173601757754703873,choose your
